,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
0,SOMETHING IN THE ORANGE,ZACH BRYAN,0.369,0.192,4,-12.151,0,0.04,0.555,8.35E-06,0.0954,0.148,175.212,228013,1
1,WASTED ON YOU,MORGAN WALLEN,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196,178520,1
2,ROCK AND A HARD PLACE,BAILEY ZIMMERMAN,0.582,0.568,1,-7.3,1,0.0275,0.577,0,0.105,0.394,121.991,207541,1
3,THE KIND OF LOVE WE MAKE,LUKE COMBS,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47E-06,0.0942,0.464,102.025,224427,1
4,MORE THAN MY HOMETOWN,MORGAN WALLEN,0.62,0.869,6,-5.479,1,0.0462,0.615,0,0.131,0.597,126.019,216573,1
5,BUY DIRT,JORDAN DAVIS,0.586,0.559,4,-6.725,1,0.05,0.639,0,0.0872,0.437,177.945,167480,1
6,SUN TO ME,ZACH BRYAN,0.505,0.27,9,-9.165,0,0.0333,0.593,0,0.133,0.557,98.721,163032,1
7,YOU PROOF,MORGAN WALLEN,0.731,0.85,9,-4.913,1,0.0336,0.252,0,0.605,0.644,119.706,157478,1
8,TENNESSEE ORANGE,MEGAN MORONEY,0.38,0.488,9,-6.637,1,0.029,0.126,7.23E-06,0.115,0.268,156.031,223120,1
9,SHE HAD ME AT HEADS CAROLINA,COLE SWINDELL,0.607,0.912,8,-3.449,1,0.0611,0.124,0,0.332,0.722,134.944,206107,1
10,"GOING, GOING, GONE",LUKE COMBS,0.565,0.56,6,-6.034,1,0.0275,0.538,0,0.0961,0.325,159.931,177267,1
11,FALL IN LOVE,BAILEY ZIMMERMAN,0.524,0.643,9,-6.055,1,0.0297,0.451,0,0.221,0.397,135.962,232059,1
12,ONE THING AT A TIME,MORGAN WALLEN,0.614,0.913,7,-5.126,1,0.0296,0.0042,1.72E-06,0.26,0.92,141.982,206865,1
13,SAND IN MY BOOTS,MORGAN WALLEN,0.403,0.537,3,-6.628,1,0.031,0.59,0,0.112,0.414,69.877,202133,1
14,COVER ME UP,MORGAN WALLEN,0.549,0.44,7,-8.192,1,0.0264,0.232,7.37E-06,0.107,0.214,128.01,293707,1
15,HANDLE ON YOU,PARKER MCCOLLUM,0.588,0.931,6,-3.925,1,0.0318,0.00411,0,0.345,0.625,105.027,219333,1
16,THANK GOD,KANE BROWN,0.738,0.455,3,-8.735,1,0.0352,0.695,0,0.107,0.441,99.945,174560,0
17,WILD AS HER,COREY KENT,0.504,0.736,0,-6.079,1,0.0352,0.00216,0,0.129,0.46,148.014,199733,1
18,7 SUMMERS,MORGAN WALLEN,0.466,0.786,0,-5.13,1,0.0328,0.417,6.10E-05,0.125,0.571,203.903,210507,1
19,OKLAHOMA SMOKESHOW,ZACH BRYAN,0.544,0.573,8,-5.694,1,0.0356,0.0958,0,0.104,0.233,122.977,211739,0
20,"BURN, BURN, BURN",ZACH BRYAN,0.508,0.296,3,-10.513,1,0.0755,0.897,5.00E-05,0.11,0.134,82.532,268856,1
21,THIS BAR,MORGAN WALLEN,0.553,0.884,2,-5.306,1,0.0771,0.0921,0.00033,0.0463,0.248,110.074,185280,0
22,WHISKEY ON YOU,NATE SMITH,0.479,0.768,8,-5.204,1,0.0312,7.02E-05,0.00549,0.121,0.576,110.024,183790,1
23,NEXT THING YOU KNOW,JORDAN DAVIS,0.557,0.597,5,-8.296,1,0.048,0.646,0,0.0974,0.414,78.526,175238,1
24,IF YOU GO DOWN (I'M GOIN' DOWN TOO),KELSEA BALLERINI,0.676,0.856,11,-4.35,1,0.0393,0.454,0,0.141,0.965,144.092,166036,0
25,THE KIND OF LOVE WE MAKE,LUKE COMBS,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47E-06,0.0942,0.464,102.025,224427,1
26,YOUR HEART OR MINE,JON PARDI,0.639,0.713,5,-4.368,0,0.0337,0.0539,0,0.102,0.717,86.1,161200,1
