,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
0,HIT THE ROAD JACK,RAY CHARLES,0.598,0.571,8,-12.616,0,0.139,0.704,0,0.513,0.962,173.141,119880,0
1,LUDLOW,JAMES JACKSON JAZZ TRIO,0.434,0.126,0,-16.053,1,0.0363,0.967,0.755,0.11,0.226,53.58,183947,0
2,YOU SEND ME,SAM COOKE,0.558,0.311,4,-9.582,0,0.0288,0.887,0,0.118,0.415,95.978,163480,0
3,SWEET LOVE,ANITA BAKER,0.505,0.669,10,-7.255,0,0.0231,0.428,0,0.0609,0.689,87.541,262267,0
4,HIT THE ROAD JACK,RAY CHARLES,0.598,0.571,8,-12.616,0,0.139,0.704,0,0.513,0.962,173.141,119880,0
5,LOVE TO BE HAPPY,MAGPIE JAZZ TRIO,0.466,0.0718,6,-19.581,1,0.0336,0.922,0.916,0.11,0.214,105.252,195276,0
6,GEORGIA ON MY MIND,RAY CHARLES,0.19,0.323,7,-12.405,1,0.0303,0.626,2.17E-06,0.176,0.281,94.34,219560,0
7,GRIZTRONICS II (ANOTHER LEVEL),GRIZ,0.579,0.978,0,0.352,1,0.211,0.0205,0.00829,0.326,0.58,145.054,165517,0
8,THE APRIL SKIES,LASALLE STREET TRIO,0.503,0.149,7,-18.103,0,0.0409,0.985,0.889,0.0818,0.173,115.739,213836,0
9,COLOR OF YOUR SOUL,GRIZ,0.486,0.964,9,-3.615,1,0.0548,0.00147,0.0628,0.101,0.177,139.958,202286,0
10,WATER,MICHIEL BORSTLAP,0.316,0.0617,5,-28.556,0,0.0496,0.995,0.93,0.116,0.19,70.132,152069,0
11,IKIGAI,ROBOHANDS,0.671,0.452,7,-13.279,1,0.0303,0.414,0.458,0.133,0.394,91.962,136013,0
12,FOREVER PROMISES,MAGPIE JAZZ TRIO,0.378,0.17,4,-19.314,0,0.0357,0.958,0.918,0.118,0.135,138.095,193237,0
13,GIVING YOU THE BEST THAT I GOT (SINGLE VERSION),ANITA BAKER,0.637,0.542,9,-8.173,1,0.0357,0.765,0,0.302,0.38,105.324,233973,0
14,L-O-V-E - 2000 REMASTER,NAT KING COLE,0.451,0.187,11,-14.762,0,0.0928,0.694,0,0.0792,0.728,157.47,153467,0
15,MEGAZORD,GRIZ,0.537,0.995,11,0.109,1,0.449,0.293,0.000115,0.394,0.431,170.177,163765,0
16,VIBE CHECK,GRIZ,0.736,0.945,0,-0.751,1,0.145,0.0176,0.00486,0.315,0.391,149.901,169600,0
17,CRUST,FLYING LOTUS,0.676,0.408,9,-7.937,1,0.0811,0.576,0.867,0.201,0.226,106.515,133520,0
18,GRIZTRONICS II (ANOTHER LEVEL) VIP,GRIZ,0.518,0.913,0,-1.023,1,0.229,0.024,0.105,0.337,0.769,148.957,145655,0
19,LEAVES,ROBOHANDS,0.387,0.444,6,-14.301,0,0.0447,0.245,0.903,0.109,0.177,83.592,194400,0
20,I CONCENTRATE ON YOU,THE BLUE GREEN,0.55,0.151,3,-17.517,1,0.0347,0.97,0.865,0.111,0.106,114.926,280419,0
21,BEYOND BELIEF,ASTORIA THREE,0.426,0.137,2,-19.003,1,0.033,0.956,0.928,0.122,0.379,55.641,211672,0
22,FUNKONAUT,GRIZ,0.582,0.882,4,-3.061,1,0.367,0.00809,0.013,0.205,0.346,89.956,210667,0
23,ROSEWOOD,BONOBO,0.757,0.637,10,-9.451,0,0.0432,0.0668,0.485,0.191,0.429,121.009,242773,0
24,MATERIAL GIRL,KRIS BOWERS,0.588,0.155,0,-20.621,1,0.0321,0.633,0.694,0.0748,0.404,136.482,244340,0
25,THE BEAUTY OF EVERYDAY THINGS,HARA NODA,0.643,0.28,10,-13.774,1,0.0332,0.965,0.867,0.107,0.0865,108.046,203097,0
26,SWAY - SPED UP VERSION,MICHAEL BUBLÉ,0.608,0.671,2,-5.643,1,0.0422,0.73,1.88E-06,0.0849,0.872,161.768,147135,0
27,I SAW THE SUN,NICK OSMAN TRIO,0.526,0.131,0,-17.461,0,0.0368,0.947,0.853,0.349,0.176,112.949,260541,0
28,AUTUMN ONCE AGAIN,CMC 3,0.529,0.147,7,-17.834,1,0.0442,0.973,0.936,0.35,0.0665,114.08,284439,0
29,WHOLE,ROBOHANDS,0.567,0.184,10,-17.594,0,0.0494,0.541,0.882,0.103,0.13,139.138,91027,0
30,ALL I NEED,DYVN,0.764,0.46,10,-9.253,0,0.132,0.625,6.85E-06,0.153,0.61,82.181,62927,0
31,FROM YOU,BONOBO,0.655,0.499,0,-10.039,0,0.0433,0.569,0.763,0.111,0.255,140.022,210280,0
32,MERRY MONDAY,LENNIE WESTON,0.587,0.127,0,-19.523,0,0.0375,0.952,0.864,0.103,0.19,109.944,190909,0
33,FEEL NO PAIN,GRIZ,0.62,0.995,0,-0.149,1,0.0735,0.0307,0.000263,0.194,0.89,150.103,169600,0
34,VIBE CHECK,GRIZ,0.736,0.945,0,-0.751,1,0.145,0.0176,0.00486,0.315,0.391,149.901,169600,0
35,I'LL MEET YOU AT THE STATION,LOUK,0.511,0.182,11,-13.651,0,0.488,0.928,0.964,0.119,0.0751,78.972,146013,0
36,VIEWS OF DAWN,MANDEVILLA,0.599,0.153,0,-17.978,1,0.0402,0.963,0.846,0.103,0.0682,67.423,293750,0
37,IMAGINATION,THE NORTH SEA TRIO,0.491,0.175,0,-15.783,0,0.043,0.955,0.887,0.112,0.193,118.264,273178,0
38,RIPPLES OF A STREAM,TURNING TRIO,0.519,0.119,8,-20.433,0,0.0342,0.876,0.801,0.109,0.166,67.601,240480,0
39,KABHI KHUSHI KABHIE GHAM,KRIS BOWERS,0.448,0.0588,1,-27.582,1,0.0328,0.625,0.952,0.132,0.418,95.997,208893,0
40,WOODWIND,JAN HARBECK QUARTET,0.278,0.126,10,-18.19,0,0.0342,0.965,0.912,0.196,0.241,183.696,320240,0
41,THE NIGHT IS FULL OF WONDERS,LIVING ROOM,0.594,0.196,10,-18.499,0,0.0318,0.871,0.95,0.103,0.079,140.104,154071,0
42,STRING FEELINGS,ROBOHANDS,0.66,0.257,11,-13.161,0,0.035,0.674,0.713,0.159,0.142,137.191,119053,0
43,FEELING GOOD - AUSTIN MILLZ REMIX,NINA SIMONE,0.675,0.818,2,-5.969,0,0.493,0.481,0.00803,0.286,0.564,113.893,150789,0
44,WINCHESTER IN APPLE BLOSSOM TIME,MANDEVILLA,0.415,0.126,5,-18.253,1,0.0578,0.962,0.77,0.0985,0.237,177.535,198701,0
45,THE LAW OF ATTRACTION,SOUTHSIDE TRIO,0.461,0.0727,7,-23.646,1,0.0367,0.972,0.88,0.126,0.193,114.931,151776,0
46,WHAT'S LIFE WITHOUT YOU,MR. RIGHT TIME,0.36,0.148,7,-18.091,0,0.0298,0.936,0.929,0.119,0.16,92.975,258415,0
47,BLUE EYES CRYING IN THE RAIN,SOUTHSIDE TRIO,0.505,0.158,6,-18.637,0,0.0379,0.969,0.908,0.0635,0.222,107.004,252154,0
48,AT DUSK,HARA NODA,0.615,0.195,1,-17.271,1,0.0339,0.979,0.907,0.264,0.172,51.394,204751,0
49,JUST OURSELVES,PEARL STREET TRIO,0.364,0.187,2,-18.971,1,0.0329,0.979,0.915,0.0832,0.0902,81.968,228739,0
50,LEAVES,M E A D O W,0.501,0.129,3,-17.127,0,0.0374,0.971,0.949,0.0995,0.265,74.97,112000,0
51,IT'S YOU OR NO ONE,THE BLUE GREEN,0.52,0.157,7,-19.608,0,0.0419,0.976,0.914,0.185,0.134,118.252,214799,0
52,"BAUBLES, BANGLES & BEADS",NICK OSMAN TRIO,0.588,0.166,8,-19.538,1,0.0372,0.954,0.879,0.229,0.194,104.232,202428,0
53,DESERT NIGHT,L'OUTLANDER,0.631,0.177,9,-17.228,1,0.0365,0.915,0.773,0.132,0.121,99.996,156006,0
54,LOVE WILL LAST FOREVER,MICHAEL STYLEZ & CO,0.576,0.0928,5,-18.404,1,0.0343,0.911,0.745,0.0937,0.155,103.03,215918,0
55,TAP ON MY DOOR,MOTOR CITY TRIO,0.404,0.176,5,-16.281,1,0.0412,0.963,0.919,0.0862,0.199,78.666,214504,0
56,SOMEONE ELSES LOVE,SODERMALM STRAND,0.576,0.121,7,-18.888,0,0.041,0.869,0.667,0.102,0.125,105.872,223525,0
57,WE THREE,CORY WEEDS,0.505,0.271,5,-12.817,1,0.0367,0.926,0.866,0.105,0.203,98.63,661773,0
58,I'LL NEVER NOT LOVE YOU,MICHAEL BUBLÉ,0.492,0.791,11,-5.045,1,0.0703,0.00816,1.87E-05,0.11,0.585,144.363,218391,0
59,YOU BRING ME JOY,ANITA BAKER,0.485,0.497,9,-7.225,1,0.0307,0.173,4.31E-06,0.107,0.185,66.506,264773,0
60,USING WHAT YOU GOT,FLYING LOTUS,0.661,0.625,11,-7.114,0,0.113,0.0314,0.894,0.173,0.736,85.786,65293,0
61,I REMEMBER CLIFFORD,STEVE DEVON,0.35,0.0336,3,-31.612,1,0.0297,0.956,0.929,0.117,0.152,103.612,245122,0
