,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
0,KILL BILL,SZA,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,153947,0
1,ANTI-HERO,TAYLOR SWIFT,0.637,0.643,4,-6.571,1,0.0519,0.13,1.80E-06,0.142,0.533,97.008,200690,1
2,CALM DOWN,REMA,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,239318,1
3,ROMANTIC HOMICIDE,D4VD,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,132631,0
4,SNOOZE,SZA,0.559,0.551,5,-7.231,1,0.132,0.141,0,0.11,0.392,143.008,201800,0
5,SOMETHING IN THE ORANGE,ZACH BRYAN,0.369,0.192,4,-12.151,0,0.04,0.555,8.35E-06,0.0954,0.148,175.212,228013,0
6,RICH FLEX,DRAKE,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86E-06,0.355,0.424,153.15,239360,0
7,KILL BILL,SZA,0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993,153947,0
8,HERE WITH ME,D4VD,0.574,0.469,4,-8.209,1,0.0254,0.534,9.21E-05,0.128,0.288,132.023,242485,0
9,ROCK AND A HARD PLACE,BAILEY ZIMMERMAN,0.582,0.568,1,-7.3,1,0.0275,0.577,0,0.105,0.394,121.991,207541,0
10,CEILINGS,LIZZY MCALPINE,0.516,0.322,9,-11.762,1,0.0292,0.473,0.00194,0.215,0.261,148.005,182888,0
11,LAVENDER HAZE,TAYLOR SWIFT,0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,96.985,202396,1
12,LOW,SZA,0.698,0.546,0,-7.234,0,0.0559,0.425,0.00314,0.16,0.335,145.044,181080,0
13,I AIN'T WORRIED,ONEREPUBLIC,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,148486,1
14,I'M GOOD (BLUE),DAVID GUETTA,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07E-06,0.371,0.304,128.04,175238,1
15,GOLDEN HOUR,JVKE,0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,209260,1
16,JIMMY COOKS,DRAKE,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41E-06,0.093,0.366,165.921,218365,1
17,AS IT WAS,HARRY STYLES,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,1
18,UNHOLY,SAM SMITH,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51E-06,0.266,0.238,131.121,156943,1
19,NONSENSE,SABRINA CARPENTER,0.74,0.697,8,-4.912,1,0.034,0.0268,0,0.224,0.732,138.992,163648,0
20,SPIN BOUT U,DRAKE,0.773,0.701,7,-6.386,1,0.0512,0.01,0,0.163,0.203,129.963,214589,0
21,LATE NIGHT TALKING,HARRY STYLES,0.714,0.728,10,-4.595,1,0.0468,0.298,0,0.106,0.901,114.996,177955,1
22,I LIKE YOU (A HAPPIER SONG),POST MALONE,0.733,0.67,5,-6.009,1,0.0751,0.121,0,0.121,0.472,100.964,192841,1
23,AS IT WAS,HARRY STYLES,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,1
24,CUFF IT,BEYONCÉ,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69E-06,0.0698,0.642,115.042,225389,0
25,KARMA,TAYLOR SWIFT,0.642,0.62,8,-7.091,1,0.0666,0.0734,0,0.483,0.0969,90.02,204852,0
26,MADE YOU LOOK,MEGHAN TRAINOR,0.838,0.525,10,-3.562,1,0.0665,0.345,1.92E-06,0.0771,0.884,144.981,134256,1
27,SHIRT,SZA,0.848,0.512,3,-7.72,0,0.102,0.228,0.00232,0.0879,0.572,120.009,181840,0
28,MIDNIGHT RAIN,TAYLOR SWIFT,0.643,0.363,0,-11.738,1,0.0767,0.69,5.17E-05,0.115,0.23,139.865,174783,0
29,TENNESSEE ORANGE,MEGAN MORONEY,0.38,0.488,9,-6.637,1,0.029,0.126,7.23E-06,0.115,0.268,156.031,223120,0
30,FALL IN LOVE,BAILEY ZIMMERMAN,0.524,0.643,9,-6.055,1,0.0297,0.451,0,0.221,0.397,135.962,232059,0
31,DITTO,NEWJEANS,0.814,0.641,6,-5.957,0,0.111,0.027,0,0.0993,0.183,133.854,185507,0
32,ALL TOO WELL (10 MINUTE VERSION) (TAYLOR'S VERSION) (FROM THE VAULT),TAYLOR SWIFT,0.631,0.518,0,-8.771,1,0.0303,0.274,0,0.088,0.205,93.023,613027,0
33,SUN TO ME,ZACH BRYAN,0.505,0.27,9,-9.165,0,0.0333,0.593,0,0.133,0.557,98.721,163032,0
34,WANTS AND NEEDS,DRAKE,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17E-06,0.119,0.1,136.006,192956,0
35,BEJEWELED,TAYLOR SWIFT,0.696,0.559,7,-9.19,1,0.0693,0.0618,5.58E-05,0.0887,0.433,163.999,194166,0
36,GOOD 4 U,OLIVIA RODRIGO,0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,178147,1
37,WILDEST DREAMS (TAYLOR'S VERSION),TAYLOR SWIFT,0.583,0.67,8,-7.289,1,0.0646,0.0374,0.0001,0.126,0.498,140.061,220433,0
38,FAIR TRADE,DRAKE,0.666,0.465,1,-8.545,1,0.26,0.0503,0,0.215,0.292,167.937,291175,0
39,VEGAS (FROM THE ORIGINAL MOTION PICTURE SOUNDTRACK ELVIS),DOJA CAT,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23E-05,0.145,0.74,159.969,182907,0
40,GHOST,JUSTIN BIEBER,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91E-05,0.415,0.441,153.96,153190,1
41,TV,BILLIE EILISH,0.412,0.236,4,-15.159,0,0.0379,0.83,0.00653,0.147,0.119,140.214,281381,0
42,"YOU'RE ON YOUR OWN, KID",TAYLOR SWIFT,0.696,0.396,2,-10.289,1,0.0656,0.401,5.20E-06,0.125,0.38,120.041,194207,0
43,WHISKEY ON YOU,NATE SMITH,0.479,0.768,8,-5.204,1,0.0312,7.02E-05,0.00549,0.121,0.576,110.024,183790,0
44,SHIVERS,ED SHEERAN,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,207853,1
45,GHOST IN THE MACHINE,SZA,0.624,0.433,6,-9.572,1,0.0467,0.837,0.0294,0.113,0.589,124.979,218587,0
46,WOMAN,DOJA CAT,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627,1
47,GOLDEN HOUR,JVKE,0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,209260,1
48,GLIMPSE OF US,JOJI,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78E-06,0.141,0.268,169.914,233456,1
49,HAPPIER THAN EVER,BILLIE EILISH,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,298899,1
50,WILD AS HER,COREY KENT,0.504,0.736,0,-6.079,1,0.0352,0.00216,0,0.129,0.46,148.014,199733,0
51,DEJA VU,OLIVIA RODRIGO,0.442,0.612,2,-7.222,1,0.112,0.584,5.70E-06,0.37,0.178,180.917,215507,1
52,OKLAHOMA SMOKESHOW,ZACH BRYAN,0.544,0.573,8,-5.694,1,0.0356,0.0958,0,0.104,0.233,122.977,211739,0
53,MAROON,TAYLOR SWIFT,0.637,0.398,7,-8.294,1,0.0564,0.0573,1.03E-06,0.101,0.0374,108.075,218271,0
54,HYPE BOY,NEWJEANS,0.593,0.935,4,-3.43,0,0.225,0.268,0,0.286,0.783,99.976,179027,0
55,IS THERE SOMEONE ELSE?,THE WEEKND,0.702,0.586,9,-7.83,0,0.0313,0.0388,7.27E-05,0.156,0.608,134.951,199111,0
56,LOVE LANGUAGE,SZA,0.707,0.261,9,-10.139,0,0.0784,0.853,0,0.127,0.545,65.038,183893,0
57,10:35,TIËSTO,0.696,0.793,8,-5.733,1,0.097,0.0683,3.78E-06,0.18,0.698,120.003,172253,0
58,EVERGREEN (YOU DIDN’T DESERVE ME AT ALL),OMAR APOLLO,0.697,0.336,9,-10.395,1,0.0424,0.598,0.00528,0.107,0.31,82.029,216680,0
59,YOU BELONG WITH ME (TAYLOR’S VERSION),TAYLOR SWIFT,0.632,0.773,6,-4.856,1,0.0346,0.0623,0,0.0885,0.474,130.033,231124,0
60,PUSSY & MILLIONS,DRAKE,0.749,0.63,4,-6.652,0,0.116,0.0623,0,0.353,0.445,122.03,242027,0
61,THE PERFECT PAIR,BEABADOOBEE,0.634,0.663,11,-6.818,1,0.0331,0.433,0.124,0.102,0.6,146.053,177533,0
62,CHORRITO PA LAS ANIMAS,FEID,0.743,0.831,8,-4.042,0,0.0584,0.114,6.43E-05,0.35,0.609,95.975,168133,0
63,DRIVERS LICENSE,OLIVIA RODRIGO,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42E-05,0.106,0.137,143.875,242013,1
64,LA BACHATA,MANUEL TURIZO,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98E-06,0.218,0.85,124.98,162638,0
65,GILDED LILY,CULTS,0.4,0.571,11,-6.534,0,0.0288,0.468,3.05E-05,0.519,0.146,61.859,212736,0
66,BAD HABITS,ED SHEERAN,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79E-05,0.366,0.537,126.011,230747,1
67,AWKWARD,SZA,0.618,0.474,5,-12.097,1,0.0789,0.182,0.000122,0.108,0.397,119.999,178000,0
