,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
0,JUST WANNA ROCK,LIL UZI VERT,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,123891,1
1,CREEPIN',METRO BOOMIN,0.715,0.62,1,-6.005,0,0.0484,0.417,0,0.0822,0.172,97.95,221520,0
2,RICH FLEX,DRAKE,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86E-06,0.355,0.424,153.15,239360,1
3,SUPERHERO (HEROES & VILLAINS),METRO BOOMIN,0.526,0.606,5,-5.3,0,0.259,0.152,2.36E-06,0.194,0.492,116.622,182667,1
4,JIMMY COOKS,DRAKE,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41E-06,0.093,0.366,165.921,218365,1
5,THE COLOR VIOLET,TORY LANEZ,0.645,0.534,6,-10.8,0,0.0479,0.157,0,0.0863,0.463,105.02,226467,0
6,TRANCE,METRO BOOMIN,0.571,0.549,1,-7.38,0,0.404,0.18,0,0.168,0.447,119.497,194787,1
7,I LIKE YOU (A HAPPIER SONG),POST MALONE,0.733,0.67,5,-6.009,1,0.0751,0.121,0,0.121,0.472,100.964,192841,0
8,SPIN BOUT U,DRAKE,0.773,0.701,7,-6.386,1,0.0512,0.01,0,0.163,0.203,129.963,214589,1
9,WAIT FOR U,FUTURE,0.463,0.642,1,-4.474,1,0.34,0.314,0,0.0686,0.339,83.389,189893,1
10,ALL MINE,BRENT FAIYAZ,0.617,0.378,9,-8.54,1,0.0315,0.428,9.16E-05,0.11,0.22,141.967,216063,0
11,TOO MANY NIGHTS,METRO BOOMIN,0.684,0.671,7,-4.392,0,0.0464,0.189,2.37E-05,0.122,0.156,88.048,199920,1
12,NIAGARA FALLS (FOOT OR 2),METRO BOOMIN,0.671,0.658,2,-5.567,1,0.309,0.189,8.66E-05,0.147,0.257,87.933,207307,1
13,KNIFE TALK,DRAKE,0.849,0.424,5,-9.579,0,0.324,0.0635,0,0.0834,0.153,145.887,242966,1
14,WANTS AND NEEDS,DRAKE,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17E-06,0.119,0.1,136.006,192956,1
15,FAMILY TIES,BABY KEEM,0.711,0.611,1,-5.453,1,0.33,0.00588,0,0.23,0.144,134.093,252262,1
16,ON BS,DRAKE,0.841,0.358,9,-8.368,1,0.591,0.0201,0,0.39,0.329,158.014,261544,1
17,PUSSY & MILLIONS,DRAKE,0.749,0.63,4,-6.652,0,0.116,0.0623,0,0.353,0.445,122.03,242027,1
18,RAPSTAR,POLO G,0.789,0.536,6,-6.862,1,0.242,0.41,0,0.129,0.437,81.039,165926,1
19,JACKIE BROWN,BRENT FAIYAZ,0.726,0.353,10,-10.273,1,0.105,0.65,0.002,0.224,0.503,137.66,169014,0
20,LIMBO,FREDDIE DREDD,0.802,0.623,11,-5.862,0,0.459,0.0292,0.055,0.113,0.457,74.987,169947,0
21,PUFFIN ON ZOOTIEZ,FUTURE,0.883,0.657,8,-5.748,1,0.305,0.0603,0,0.128,0.284,124.992,172933,1
22,NUTS,LIL PEEP,0.51,0.739,2,-7.41,1,0.0415,0.00872,0,0.111,0.148,62.007,85360,0
23,MAJOR DISTRIBUTION,DRAKE,0.908,0.546,8,-10.491,0,0.323,0.0127,0,0.0707,0.225,131.016,170502,1
24,2055,SLEEPY HALLOW,0.829,0.512,6,-5.865,0,0.187,0.492,0,0.12,0.638,80.511,123987,1
25,FAIR TRADE,DRAKE,0.666,0.465,1,-8.545,1,0.26,0.0503,0,0.215,0.292,167.937,291175,1
26,SURROUND SOUND,JID,0.575,0.56,5,-7.302,1,0.478,0.173,0,0.257,0.471,75.956,229938,1
27,N95,KENDRICK LAMAR,0.79,0.67,1,-5.527,1,0.105,0.377,2.32E-06,0.119,0.408,139.956,195950,1
28,HOTEL LOBBY (UNC & PHEW),QUAVO,0.825,0.649,11,-4.297,1,0.169,0.117,0,0.232,0.143,127.978,142657,0
29,M Y . L I F E,J. COLE,0.597,0.587,7,-7.026,0,0.137,0.0622,0,0.214,0.0753,140.021,218802,0
30,BROKE BOYS,DRAKE,0.642,0.533,2,-7.45,1,0.266,0.0104,0.000108,0.251,0.112,120.041,225439,1
31,CIRCO LOCO,DRAKE,0.734,0.605,1,-8.476,1,0.0699,0.0102,0,0.317,0.252,103.976,236795,1
32,FIRST CLASS,JACK HARLOW,0.902,0.582,5,-5.902,0,0.109,0.111,3.18E-06,0.111,0.332,107.005,173948,1
33,EVERY CHANCE I GET,DJ KHALED,0.477,0.727,2,-4.053,1,0.286,0.000866,0,0.108,0.227,150.062,236524,1
