,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
0,WAGON WHEEL,DARIUS RUCKER,0.537,0.66,9,-7.174,1,0.0296,0.455,0.0,0.135,0.574,148.096,298373,1
1,PLAY IT AGAIN,LUKE BRYAN,0.506,0.886,11,-3.225,1,0.0655,0.0916,0.0,0.0734,0.595,143.935,226867,1
2,CRUISE,FLORIDA GEORGIA LINE,0.457,0.948,10,-3.364,1,0.0354,0.0191,0.0,0.0536,0.878,148.0,208960,1
3,THAT'S MY KIND OF NIGHT,LUKE BRYAN,0.661,0.751,7,-2.909,1,0.0481,0.0571,0.0,0.105,0.875,109.995,190187,1
4,THIS IS HOW WE ROLL,FLORIDA GEORGIA LINE,0.555,0.931,8,-2.969,1,0.0367,0.016,0.0,0.405,0.723,132.085,220907,1
5,HARD TO LOVE,LEE BRICE,0.638,0.722,9,-6.177,1,0.0332,0.0119,0.00808,0.189,0.469,103.017,224293,1
6,HOW COUNTRY FEELS,RANDY HOUSER,0.678,0.839,7,-3.617,1,0.0394,0.0379,0.0,0.0742,0.772,104.952,185907,1
7,MAKE ME WANNA,THOMAS RHETT,0.545,0.818,9,-6.38,1,0.0541,0.0369,0.0,0.101,0.679,109.019,225067,0
8,KEEP THE WOLVES AWAY,UNCLE LUCIUS,0.682,0.351,1,-10.276,0,0.0318,0.52,0.00059,0.11,0.144,122.207,275520,0
9,SOMETHIN' 'BOUT A TRUCK,KIP MOORE,0.554,0.794,11,-5.417,1,0.035,0.0697,0.0,0.63,0.79,176.01,213827,1
10,ALL OVER THE ROAD,EASTON CORBIN,0.491,0.841,5,-3.579,1,0.0421,0.0471,0.0,0.0886,0.721,199.851,163067,1
11,IT GOES LIKE THIS,THOMAS RHETT,0.543,0.837,11,-6.448,1,0.0608,0.117,0.0,0.0872,0.506,168.056,186080,1
12,ROUND HERE,FLORIDA GEORGIA LINE,0.523,0.954,1,-3.051,1,0.0374,0.00385,1.65e-06,0.243,0.901,141.982,215120,1
13,RUNNIN' OUTTA MOONLIGHT,RANDY HOUSER,0.526,0.801,2,-3.717,1,0.0393,0.0354,3.17e-06,0.0637,0.769,172.024,193773,1
14,HIGHWAY DON'T CARE,TIM MCGRAW,0.47,0.79,2,-5.352,1,0.039,0.0216,0.0,0.0863,0.495,158.061,276880,0
15,5-1-5-0,DIERKS BENTLEY,0.554,0.849,1,-5.181,0,0.0357,0.0246,0.000233,0.31,0.683,116.992,182893,1
16,GET ME SOME OF THAT,THOMAS RHETT,0.549,0.866,6,-5.306,1,0.0476,0.0733,0.0,0.25,0.767,87.964,187400,1
17,BOYS 'ROUND HERE,BLAKE SHELTON,0.611,0.688,2,-6.369,1,0.0529,0.251,2.35e-06,0.248,0.649,169.895,288760,1
18,PONTOON,LITTLE BIG TOWN,0.721,0.819,9,-5.715,1,0.0269,0.413,0.0,0.196,0.867,96.02,212320,1
19,WHEN SHE SAYS BABY,JASON ALDEAN,0.673,0.76,0,-5.126,1,0.0361,0.0682,0.000116,0.309,0.807,113.063,171120,1
20,WHAT ARE YOU LISTENING TO?,CHRIS STAPLETON,0.563,0.553,10,-8.501,1,0.0287,0.19,4.71e-05,0.0967,0.409,161.893,245920,0
21,DRINK A BEER,LUKE BRYAN,0.483,0.431,8,-7.656,1,0.0343,0.836,5.19e-05,0.199,0.296,78.26,202627,1
22,FOLLOW YOUR ARROW,KACEY MUSGRAVES,0.448,0.649,5,-5.925,1,0.0434,0.418,0.0,0.0976,0.575,195.925,199640,1
23,AW NAW,CHRIS YOUNG,0.652,0.859,2,-3.746,1,0.0358,0.0639,0.0,0.0777,0.491,109.971,188707,1
24,COWBOYS AND ANGELS,DUSTIN LYNCH,0.355,0.55,10,-5.772,1,0.0285,0.245,3.2e-05,0.0979,0.26,73.842,227720,1
25,MERRY GO 'ROUND,KACEY MUSGRAVES,0.651,0.466,6,-9.403,1,0.0305,0.541,0.0027,0.116,0.326,86.953,206893,1
26,BLOWN AWAY,CARRIE UNDERWOOD,0.531,0.843,9,-2.569,0,0.0429,0.0909,0.0,0.0283,0.392,136.991,240133,1
27,BEAT OF THE MUSIC,BRETT ELDREDGE,0.629,0.808,9,-4.125,1,0.0269,0.00898,9.06e-06,0.0751,0.773,110.001,179293,1
28,GET YOUR SHINE ON,FLORIDA GEORGIA LINE,0.497,0.927,0,-4.52,1,0.0371,0.00286,1.26e-06,0.413,0.607,96.991,222013,1
29,WE ARE TONIGHT,BILLY CURRINGTON,0.559,0.812,11,-5.347,1,0.0371,0.0323,0.0,0.195,0.472,127.911,232107,0
30,NIGHT TRAIN,JASON ALDEAN,0.496,0.708,5,-5.175,1,0.0293,0.0512,1.06e-06,0.182,0.502,158.121,232307,1
31,DON'T YA,BRETT ELDREDGE,0.537,0.693,9,-5.256,1,0.0847,0.0566,0.0,0.146,0.581,176.004,181210,1
32,CRASH MY PARTY,LUKE BRYAN,0.526,0.816,7,-4.009,1,0.0421,0.0285,0.0,0.22,0.414,144.032,234760,1
33,STAY,FLORIDA GEORGIA LINE,0.494,0.936,1,-2.989,1,0.0418,0.0744,0.0,0.148,0.582,141.939,199320,1
34,GOOD GIRL,CARRIE UNDERWOOD,0.617,0.839,0,-2.849,0,0.0655,0.0286,0.0,0.19,0.741,128.91,205560,1
35,EVERY STORM (RUNS OUT OF RAIN),GARY ALLAN,0.525,0.693,0,-6.972,1,0.0327,0.046,9.55e-06,0.247,0.363,107.012,225640,1
36,BEACHIN',JAKE OWEN,0.527,0.902,6,-5.352,1,0.0601,0.344,4.63e-05,0.0669,0.709,181.964,191040,1
37,HEY GIRL,BILLY CURRINGTON,0.548,0.673,1,-5.29,1,0.0268,0.0158,0.0,0.0794,0.652,81.947,200533,1
38,LIFE AIN'T FAIR AND THE WORLD IS MEAN,STURGILL SIMPSON,0.637,0.821,11,-5.065,0,0.0342,0.142,0.0349,0.261,0.734,104.34,126467,0
39,BETTER DIG TWO,THE BAND PERRY,0.64,0.669,7,-5.17,1,0.0519,0.413,0.0,0.0779,0.646,155.844,194680,1
40,LONELY EYES,CHRIS YOUNG,0.657,0.674,1,-5.273,1,0.0319,0.0326,1.88e-05,0.0947,0.336,106.005,217413,0
41,ROLLER COASTER,LUKE BRYAN,0.602,0.79,8,-4.46,1,0.0355,0.026,7.43e-05,0.162,0.274,108.008,259080,1
42,I DRIVE YOUR TRUCK,LEE BRICE,0.51,0.649,11,-6.215,1,0.0348,0.0978,0.00206,0.119,0.118,141.963,234840,1
43,A WOMAN LIKE YOU,LEE BRICE,0.592,0.584,7,-7.422,1,0.0305,0.245,0.0,0.0862,0.371,160.048,209787,1
44,WASTING ALL THESE TEARS,CASSADEE POPE,0.465,0.772,5,-3.932,0,0.0378,0.0959,1.04e-05,0.167,0.257,155.83,215640,1
45,THE ONLY WAY I KNOW,JASON ALDEAN,0.511,0.798,7,-4.314,1,0.0498,0.227,6.51e-06,0.184,0.607,183.303,193187,0
46,GIVE IT ALL WE GOT TONIGHT,GEORGE STRAIT,0.577,0.649,7,-7.031,1,0.027,0.253,5.03e-06,0.0798,0.339,130.313,251333,1
47,TAKE A LITTLE RIDE,JASON ALDEAN,0.472,0.866,2,-3.771,1,0.0413,0.044,0.0,0.213,0.775,163.867,187613,1
48,LOVIN' YOU IS FUN,EASTON CORBIN,0.703,0.83,8,-3.028,1,0.0327,0.32,0.0,0.364,0.597,109.958,199013,1
49,SUNNY AND 75,JOE NICHOLS,0.531,0.893,0,-4.422,1,0.055,0.184,1.01e-06,0.101,0.323,120.045,206947,1
50,ANGEL EYES,LOVE AND THEFT,0.656,0.696,8,-5.917,1,0.0261,0.0134,0.0,0.0753,0.966,108.015,186627,1
51,FAST HAND,CODY JINKS,0.632,0.473,9,-7.857,1,0.0346,0.0378,0.00015,0.107,0.306,141.855,230827,0
52,COP CAR,KEITH URBAN,0.538,0.664,1,-6.318,1,0.0392,0.193,0.0,0.0918,0.366,154.033,256747,0
53,JUMP RIGHT IN,ZAC BROWN BAND,0.699,0.819,1,-5.111,1,0.058,0.0886,0.0,0.143,0.654,104.02,180813,1
54,REDNECK CRAZY,TYLER FARR,0.487,0.667,7,-4.216,0,0.0309,0.153,0.0,0.161,0.463,145.854,216040,1
55,WHO I AM WITH YOU,CHRIS YOUNG,0.466,0.702,0,-4.308,1,0.032,0.0983,1.29e-05,0.242,0.47,150.309,191573,1
56,HEY PRETTY GIRL,KIP MOORE,0.291,0.4,2,-10.615,1,0.0306,0.145,1.86e-05,0.259,0.0935,83.112,215920,1
57,DOWNTOWN,LADY A,0.532,0.825,9,-5.287,1,0.0468,0.18,0.0,0.296,0.96,169.961,195867,0
58,PIRATE FLAG,KENNY CHESNEY,0.559,0.795,7,-6.255,1,0.052,0.0787,4.83e-06,0.102,0.553,160.039,225427,1
59,TWO BLACK CADILLACS,CARRIE UNDERWOOD,0.555,0.854,5,-4.468,0,0.0609,0.0223,3.95e-06,0.0672,0.448,119.991,297947,1
60,CRUISE - REMIX,FLORIDA GEORGIA LINE,0.525,0.915,0,-4.351,0,0.0789,0.0156,0.0,0.66,0.623,149.042,208787,0
61,SWITCH LANES,RITTZ,0.717,0.604,6,-6.602,1,0.109,0.116,9.68e-06,0.132,0.749,67.029,204270,0
62,I SEE YOU,LUKE BRYAN,0.657,0.821,6,-3.388,1,0.0352,0.0838,0.0,0.0457,0.714,130.002,185987,1
63,WE GET BY,CODY JINKS,0.554,0.781,2,-6.098,1,0.0365,0.0364,0.000691,0.153,0.424,117.998,234240,0
64,COME OVER,KENNY CHESNEY,0.466,0.704,1,-7.169,1,0.0353,0.1,2.71e-05,0.0744,0.481,176.043,248427,1
65,MINE WOULD BE YOU,BLAKE SHELTON,0.572,0.529,0,-6.897,1,0.0282,0.146,0.0,0.335,0.321,139.876,239507,1
66,MEAN TO ME,BRETT ELDREDGE,0.647,0.586,0,-6.883,1,0.0313,0.115,1.69e-06,0.121,0.165,87.994,228907,0
67,COVER ME UP,JASON ISBELL,0.429,0.093,3,-15.944,1,0.0433,0.882,0.00703,0.111,0.208,129.661,293973,0
68,DRUNK LAST NIGHT,ELI YOUNG BAND,0.528,0.856,7,-4.605,1,0.0351,0.052,0.0,0.0988,0.572,87.019,219213,1
69,BAND PLAYS ON,LIL WYTE,0.802,0.794,11,-5.054,0,0.196,0.00282,0.0,0.0927,0.633,152.571,221053,0
70,SWEET ANNIE,ZAC BROWN BAND,0.635,0.434,6,-7.986,1,0.0298,0.171,1.09e-06,0.106,0.171,139.977,278693,1
71,CAROLINA,PARMALEE,0.434,0.75,10,-3.53,1,0.0293,0.0107,0.0,0.106,0.488,159.824,201347,1
72,YEAH,JOE NICHOLS,0.404,0.845,11,-4.647,1,0.049,0.00637,1.34e-05,0.357,0.591,165.703,231027,0
73,SURE BE COOL IF YOU DID,BLAKE SHELTON,0.576,0.726,11,-4.625,1,0.035,0.255,0.0,0.108,0.582,136.802,215720,1
74,LETTIN' THE NIGHT ROLL,JUSTIN MOORE,0.542,0.859,2,-5.137,1,0.0424,0.0873,0.0,0.145,0.637,140.9,203120,1
75,TIME IS LOVE,JOSH TURNER,0.663,0.814,2,-4.987,1,0.0466,0.0653,0.000252,0.0823,0.547,111.97,200373,1
76,BEER MONEY,KIP MOORE,0.745,0.805,2,-5.549,1,0.0307,0.0223,1.06e-06,0.13,0.765,126.065,218147,1
77,PARKING LOT PARTY,LEE BRICE,0.54,0.86,1,-5.763,1,0.081,0.00646,0.0,0.629,0.856,171.72,207893,1
78,I'M IN A HURRY (AND DON'T KNOW WHY),FLORIDA GEORGIA LINE,0.556,0.978,7,-3.291,1,0.0524,0.01,0.0,0.274,0.678,128.658,171093,1
79,GOODBYE IN HER EYES,ZAC BROWN BAND,0.411,0.558,3,-7.393,1,0.038,0.162,3.79e-06,0.0879,0.379,81.274,324267,1
80,I GOT A CAR,GEORGE STRAIT,0.602,0.631,4,-7.371,1,0.033,0.332,0.0,0.12,0.472,138.389,272267,1
81,RAISE 'EM UP,KEITH URBAN,0.609,0.788,4,-7.855,1,0.0416,0.645,3.72e-05,0.174,0.54,108.053,184947,0
82,RAMBLIN' MAN,ALLMAN BROTHERS BAND,0.305,0.824,1,-8.33,1,0.0354,0.51,0.00292,0.272,0.921,179.404,288160,0
83,DONE.,THE BAND PERRY,0.65,0.89,1,-2.995,1,0.0366,0.322,0.0,0.0543,0.757,100.053,205267,1
84,POINT AT YOU,JUSTIN MOORE,0.626,0.805,7,-5.81,1,0.0449,0.0126,0.0,0.156,0.882,116.03,180720,1
85,DRIVIN’ AROUND SONG,COLT FORD,0.613,0.709,7,-7.408,1,0.0387,0.0819,0.0,0.11,0.523,134.972,220125,0
86,SHE LIKES THE BEATLES,WILLIAM CLARK GREEN,0.209,0.593,7,-4.292,1,0.0324,0.00429,0.0,0.212,0.34,82.246,256760,0
87,AM I THE ONLY ONE,DIERKS BENTLEY,0.579,0.878,2,-5.396,1,0.145,0.29,0.0,0.789,0.88,165.972,191253,0
88,ANSWER TO NO ONE,COLT FORD,0.468,0.874,7,-4.45,0,0.0992,0.187,0.0,0.0718,0.523,79.988,212924,0
89,LET THERE BE COWGIRLS,CHRIS CAGLE,0.537,0.788,11,-5.557,1,0.0362,0.0892,1.27e-06,0.164,0.727,161.991,273480,1
90,SEE YOU TONIGHT,SCOTTY MCCREERY,0.497,0.816,9,-6.489,1,0.0563,0.217,0.0,0.171,0.512,169.966,226320,1
91,THE ROAD,AARON LEWIS,0.633,0.678,6,-6.991,1,0.0351,0.164,0.000212,0.127,0.745,160.074,169947,0
