,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
0,SEPTEMBER,"EARTH, WIND & FIRE",0.694,0.831,9,-7.288,1,0.0301,0.165,0.000892,0.25,0.98,125.901,215080,0
1,HARD TO HANDLE,OTIS REDDING,0.666,0.55,10,-8.672,1,0.0612,0.573,1.84e-06,0.122,0.961,95.552,141000,0
2,IT RUNS THROUGH ME,TOM MISCH,0.799,0.608,11,-11.026,0,0.295,0.204,0.000692,0.25,0.283,97.045,261881,0
3,CAUGHT UP IN THE RAPTURE,ANITA BAKER,0.593,0.506,2,-9.708,1,0.0263,0.412,3.99e-06,0.048,0.378,91.273,250267,0
4,MOVIE,TOM MISCH,0.784,0.381,7,-11.446,1,0.0739,0.394,0.0158,0.268,0.185,122.026,357357,0
5,UNCHAINED MELODY,NORAH JONES,0.508,0.245,2,-13.403,1,0.0323,0.889,0.741,0.144,0.197,66.942,170160,0
6,ANGEL,ANITA BAKER,0.625,0.373,9,-12.718,0,0.0315,0.705,4.95e-05,0.0699,0.486,81.034,300707,0
7,NOCTURNE IN TOKYO,REMO ANZOVINO,0.374,0.113,7,-20.557,0,0.0529,0.992,0.917,0.106,0.0419,95.007,221680,0
8,GROWN MAN SPORT,PETE ROCK,0.802,0.757,7,-8.01,1,0.316,0.476,1.28e-05,0.163,0.605,88.031,276373,0
9,CAN YOU FEEL IT,ADAM HAWLEY,0.798,0.599,2,-5.124,1,0.0281,0.216,0.242,0.0544,0.776,97.008,251013,0
10,NO ONE IN THE WORLD,ANITA BAKER,0.595,0.557,10,-8.305,1,0.0253,0.543,0.0,0.176,0.415,90.177,246907,0
11,LOVE YOU ANYMORE,MICHAEL BUBLÉ,0.693,0.257,6,-7.785,1,0.0356,0.869,0.0,0.11,0.603,90.012,182667,0
12,NATURE'S RATIO,SLOWLY ROLLING CAMERA,0.0,0.0473,7,-16.737,1,0.0,0.979,0.959,0.187,0.0,0.0,117947,0
13,LOST IN PARIS,TOM MISCH,0.782,0.711,1,-7.811,0,0.0588,0.361,2.01e-05,0.0839,0.797,104.085,194023,0
14,LOST IN THE MOMENT,DARIUS,0.64,0.669,9,-5.939,1,0.036,0.0922,0.541,0.0633,0.198,115.003,264013,0
15,RAINBOWS & WATERFALLS,PRETTY LIGHTS,0.629,0.834,2,-6.059,0,0.0667,0.209,0.000884,0.219,0.417,93.983,254681,0
