,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
0,THE COLOR VIOLET,TORY LANEZ,0.645,0.534,6,-10.8,0,0.0479,0.157,0.0,0.0863,0.463,105.02,226467,0
1,GLOCK IN MY LAP,21 SAVAGE,0.847,0.733,10,-6.439,0,0.16,0.00574,1.04e-05,0.151,0.202,130.029,193591,1
2,KNIFE TALK,DRAKE,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,242966,1
3,LOW DOWN,LIL BABY,0.962,0.619,10,-5.562,0,0.405,0.0354,0.0,0.083,0.154,127.958,144652,0
4,FAMILY TIES,BABY KEEM,0.711,0.611,1,-5.453,1,0.33,0.00588,0.0,0.23,0.144,134.093,252262,1
5,WANTS AND NEEDS,DRAKE,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,192956,1
6,MARTIN & GINA,POLO G,0.832,0.534,1,-7.813,0,0.253,0.345,0.0,0.165,0.116,93.924,132833,1
7,FAIR TRADE,DRAKE,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,291175,1
8,SKY,PLAYBOI CARTI,0.785,0.903,2,-4.184,1,0.21,0.258,0.0,0.169,0.565,139.98,193234,1
9,BEST INTEREST,"TYLER, THE CREATOR",0.596,0.575,11,-8.325,0,0.0514,0.0861,0.000153,0.334,0.34,98.265,127921,0
10,RUNNIN,21 SAVAGE,0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01,195906,1
11,SECRETS,A BOOGIE WIT DA HOODIE,0.539,0.648,4,-6.008,1,0.0619,0.118,0.0,0.362,0.403,91.066,133331,0
12,RAPSTAR,POLO G,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,165926,1
13,TOOK HER TO THE O,KING VON,0.82,0.592,1,-7.002,1,0.29,0.0149,4.71e-06,0.121,0.4,159.98,196180,1
14,"...AND TO THOSE I LOVE, THANKS FOR STICKING AROUND",$UICIDEBOY$,0.792,0.511,2,-6.876,1,0.0409,0.124,9.04e-05,0.14,0.111,113.983,168490,0
15,MONËY SO BIG,YEAT,0.693,0.575,2,-7.633,1,0.0906,0.121,0.0,0.104,0.353,138.016,160052,0
16,2055,SLEEPY HALLOW,0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,80.511,123987,1
